CommandId	Path	Id	CanHaveBinding
ID_OBJECTS_STRUCTURAL_COLUMN	Home-Structure-Column-Structural Column	34974	True
ID_OBJECTS_COLUMN	Home-Structure-Column-Architectural Column	32918	True
ID_OBJECTS_SLAB	Home-Structure-Floor-Structural Floor	34985	True
ID_OBJECTS_FLOOR	Home-Structure-Floor-Architectural Floor	32914	True
ID_CREATE_SLAB_EDGE_TB	Home-Structure-Floor-Slab Edge	40603	True
ID_OBJECTS_TRUSS	Home-Structure-Truss	43213	True
ID_OBJECTS_BRACE	Home-Structure-Brace	34973	True
ID_OBJECTS_JOIST_SYSTEM	Home-Structure-Beam System	42398	True
ID_OBJECTS_ISOLATED_FOOTING	Home-Foundation-Isolated	35114	True
ID_OBJECTS_CONTINUOUS_FOOTING	Home-Foundation-Wall	35113	True
ID_OBJECTS_FOOTING_SLAB	Home-Foundation-Slab-Foundation Slab	35156	True
ID_CREATE_SLAB_EDGE_TB	Home-Foundation-Slab-Slab Edge	40603	True
ID_SETTINGS_DECAL_TYPES	Insert-Link-Decal Types	33188	True
ID_BEAM_ANNOTATION_PLACEMENT	Annotate-Tag-Beam Annotations	35585	True
ID_BUTTON_TAG	Annotate-Tag-Tag-By Category	33329	True
ID_TAG_MULTI	Annotate-Tag-Tag-Multi_Category	35203	True
ID_TAG_MATERIAL	Annotate-Tag-Tag-Material	35145	True
ID_OBJECTS_REBAR_SYSTEM_SPAN_SYM	Annotate-Symbol-Area	46959	True
ID_OBJECTS_PATH_REIN_SPAN_SYM	Annotate-Symbol-Path	35228	True
ID_FILTERS_SELECTION_SAVE	Modify-Selection-Save	35181	True
ID_RETRIEVE_FILTERS	Modify-Selection-Load	35180	True
ID_EDIT_SELECTIONS	Modify-Selection-Edit	35183	True
ID_CREATE_OPENING_BY_FACE_TB	Modify-Opening-By Face	35253	True
ID_CREATE_WALL_OPENING_TB	Modify-Opening-Wall	35256	True
ID_CREATE_SHAFT_OPENING_TB	Modify-Opening-Shaft	35257	True
ID_CREATE_VERTICAL_OPENING_TB	Modify-Opening-Vertical	35254	True
ID_OBJECT_LOADS	Analyze-Loads-Loads	34987	True
ID_STRUCTURAL_SETTINGS_LOAD_CASES	Analyze-Loads-Load Cases	61531	True
ID_STRUCTURAL_SETTINGS_LOAD_COMB	Analyze-Loads-Load Combinations	61532	True
ID_OBJECT_BC	Analyze-Boundary Conditions-Boundary Conditions	35223	True
