219 categories and their parents:
  OST_CableTrayFittingCenterLine --> Center line (-2008140
  OST_ConduitCenterLine --> Center line (-2008139
  OST_ConduitDrop --> Drop (-2008138
  OST_ConduitRiseDrop --> Rise (-2008137
  OST_CableTrayCenterLine --> Center line (-2008136
  OST_CableTrayDrop --> Drop (-2008135
  OST_CableTrayRiseDrop --> Rise (-2008134
  OST_ConduitTags --> Conduit Tags (-2008133
  OST_Conduit --> Conduits (-2008132
  OST_CableTrayTags --> Cable Tray Tags (-2008131
  OST_CableTray --> Cable Trays (-2008130
  OST_ConduitFittingTags --> Conduit Fitting Tags (-2008129
  OST_ConduitFitting --> Conduit Fittings (-2008128
  OST_CableTrayFittingTags --> Cable Tray Fitting Tags (-2008127
  OST_CableTrayFitting --> Cable Tray Fittings (-2008126
  OST_DuctLinings <none>
  OST_DuctInsulations <none>
  OST_PipeInsulations <none>
  OST_HVAC_Load_Schedules <none>
  OST_HVAC_Load_Building_Types <none>
  OST_HVAC_Load_Space_Types <none>
  OST_HVAC_Zones_Reference_Visibility --> Reference Lines (-2008118
  OST_HVAC_Zones_InteriorFill_Visibility --> Interior Fill (-2008117
  OST_HVAC_Zones_ColorFill --> Color Fill (-2008116
  OST_ZoneTags --> Zone Tags (-2008115
  OST_LayoutPath_Bases <none>
  OST_WireTemperatureRatings <none>
  OST_WireInsulations <none>
  OST_WireMaterials <none>
  OST_HVAC_Zones_Reference <none>
  OST_HVAC_Zones_InteriorFill <none>
  OST_HVAC_Zones_Boundary --> Boundary (-2008108
  OST_HVAC_Zones --> HVAC Zones (-2008107
  OST_Fluids <none>
  OST_PipeSchedules <none>
  OST_PipeMaterials <none>
  OST_PipeConnections <none>
  OST_EAConstructions <none>
  OST_SwitchSystem --> Switch System (-2008101
  OST_SprinklerTags --> Sprinkler Tags (-2008100
  OST_Sprinklers --> Sprinklers (-2008099
  OST_RouteCurveBranch <none>
  OST_RouteCurveMain <none>
  OST_RouteCurve <none>
  OST_GbXML_Opening --> Opening (-2008095
  OST_GbXML_SType_Underground --> Underground (-2008094
  OST_GbXML_SType_Shade --> Shade (-2008093
  OST_GbXML_SType_Exterior --> Exterior (-2008092
  OST_GbXML_SType_Interior --> Interior (-2008091
  OST_GbXMLFaces --> gbXML Surface (-2008090
  OST_WireHomeRunArrows --> Home Run Arrows (-2008089
  OST_LightingDeviceTags --> Lighting Device Tags (-2008088
  OST_LightingDevices --> Lighting Devices (-2008087
  OST_FireAlarmDeviceTags --> Fire Alarm Device Tags (-2008086
  OST_FireAlarmDevices --> Fire Alarm Devices (-2008085
  OST_DataDeviceTags --> Data Device Tags (-2008084
  OST_DataDevices --> Data Devices (-2008083
  OST_CommunicationDeviceTags --> Communication Device Tags (-2008082
  OST_CommunicationDevices --> Communication Devices (-2008081
  OST_SecurityDeviceTags --> Security Device Tags (-2008080
  OST_SecurityDevices --> Security Devices (-2008079
  OST_NurseCallDeviceTags --> Nurse Call Device Tags (-2008078
  OST_NurseCallDevices --> Nurse Call Devices (-2008077
  OST_TelephoneDeviceTags --> Telephone Device Tags (-2008076
  OST_TelephoneDevices --> Telephone Devices (-2008075
  OST_WireTickMarks --> Wire Tick Marks (-2008074
  OST_PipeFittingInsulation --> Insulation (-2008073
  OST_PipeFittingCenterLine --> Center line (-2008072
  OST_FlexPipeCurvesInsulation --> Insulation (-2008071
  OST_PipeCurvesInsulation --> Insulation (-2008070
  OST_PipeCurvesDrop --> Drop (-2008069
  OST_DuctFittingLining --> Lining (-2008068
  OST_DuctFittingInsulation --> Insulation (-2008067
  OST_DuctFittingCenterLine --> Center line (-2008066
  OST_FlexDuctCurvesInsulation --> Insulation (-2008065
  OST_DuctCurvesLining --> Lining (-2008064
  OST_DuctCurvesInsulation --> Insulation (-2008063
  OST_DuctCurvesDrop --> Drop (-2008062
  OST_DuctFittingTags --> Duct Fitting Tags (-2008061
  OST_PipeFittingTags --> Pipe Fitting Tags (-2008060
  OST_PipeColorFills --> Pipe Color Fill (-2008059
  OST_PipeColorFillLegends --> Pipe Color Fill Legends (-2008058
  OST_WireTags --> Wire Tag (-2008057
  OST_PipeAccessoryTags --> Pipe Accessory Tags (-2008056
  OST_PipeAccessory --> Pipe Accessories (-2008055
  OST_PipeCurvesRiseDrop --> Rise (-2008054
  OST_FlexPipeCurvesPattern --> Pattern (-2008053
  OST_FlexPipeCurvesContour <none>
  OST_FlexPipeCurvesCenterLine --> Center Line (-2008051
  OST_FlexPipeCurves --> Flex Pipes (-2008050
  OST_PipeFitting --> Pipe Fittings (-2008049
  OST_FlexPipeTags --> Flex Pipe Tags (-2008048
  OST_PipeTags --> Pipe Tags (-2008047
  OST_PipeCurvesContour <none>
  OST_PipeCurvesCenterLine --> Center Line (-2008045
  OST_PipeCurves --> Pipes (-2008044
  OST_PipingSystem --> Piping Systems (-2008043
  OST_ElectricalDemandFactor <none>
  OST_ElecDistributionSys <none>
  OST_ElectricalVoltage <none>
  OST_Wire --> Wires (-2008039
  OST_ElectricalCircuitTags --> Electrical Circuit Tag (-2008038
  OST_ElectricalCircuit --> Electrical Circuits (-2008037
  OST_DuctCurvesRiseDrop --> Rise (-2008036
  OST_FlexDuctCurvesPattern --> Pattern (-2008023
  OST_FlexDuctCurvesContour <none>
  OST_FlexDuctCurvesCenterLine --> Center line (-2008021
  OST_FlexDuctCurves --> Flex Ducts (-2008020
  OST_DuctAccessoryTags --> Duct Accessory Tags (-2008017
  OST_DuctAccessory --> Duct Accessories (-2008016
  OST_DuctSystem --> Duct Systems (-2008015
  OST_DuctTerminalTags --> Air Terminal Tags (-2008014
  OST_DuctTerminal --> Air Terminals (-2008013
  OST_DuctFitting --> Duct Fittings (-2008010
  OST_DuctColorFills --> Duct Color Fill (-2008005
  OST_FlexDuctTags --> Flex Duct Tags (-2008004
  OST_DuctTags --> Duct Tags (-2008003
  OST_DuctCurvesContour <none>
  OST_DuctCurvesCenterLine --> Center line (-2008001
  OST_DuctCurves --> Ducts (-2008000
  OST_DuctColorFillLegends --> Duct Color Fill Legends (-2007004
  OST_ConnectorElemZAxis <none>
  OST_ConnectorElemYAxis <none>
  OST_ConnectorElemXAxis <none>
  OST_ConnectorElem <none>
  OST_DesignOptions <none>
  OST_DesignOptionSets <none>
